No,M1,M2,M3,Support,C2 yield (%),CH4 conversion (%),C2 selectivity (%),Temp. (℃),CH4/O2 (mol/mol),Total flow (mL/min),PAr (atm)
1,Li,K,Mn,MgO,8.2,29.0,28.3,800,2,10,0.15
2,Li,Fe,Tb,MgO,4.7,24.7,19.1,850,2,10,0.4
3,Li,Fe,Hf,MgO,2.5,28.1,8.8,900,2,10,0.15
4,Na,Na,none,MgO,7.4,34.0,21.7,850,2,20,0.15
5,Na,Ni,Y,MgO,1.0,24.6,4.1,750,6,20,0.7
6,Na,Ce,Tb,MgO,3.8,32.1,11.9,900,6,20,0.15
7,Na,Tb,Hf,MgO,8.6,30.9,27.7,800,2,20,0.15
8,Na,Eu,Hf,MgO,16.6,35.6,46.7,750,2,10,0.15
9,Mg,Ca,Zn,MgO,2.1,24.0,8.9,850,4,15,0.15
10,Mg,Mn,none,MgO,7.9,27.1,29.0,850,2,20,0.15
11,Mg,Zn,Eu,MgO,15.5,40.9,37.9,700,2,20,0.15
12,Mg,Nd,none,MgO,9.5,35.5,26.8,850,2,20,0.7
13,Ca,Zr,La,MgO,16.1,33.8,47.6,750,2,20,0.15
14,Ti,Ni,Cs,MgO,1.6,33.2,4.8,800,2,20,0.4
15,Ti,V,Ba,MgO,8.2,37.7,21.8,900,2,15,0.7
16,V,Fe,Ni,MgO,7.6,34.3,22.0,800,2,15,0.15
17,V,Mo,Pd,MgO,0.7,26.5,2.6,900,6,15,0.7
18,V,Tb,W,MgO,6.7,33.6,19.9,850,2,15,0.15
19,Fe,Y,Nd,MgO,3.6,21.5,16.9,800,2,20,0.15
20,Fe,Zr,none,MgO,7.1,37.8,18.7,850,2,20,0.15
21,Fe,Ce,Tb,MgO,6.2,25.0,25.0,800,2,10,0.15
22,Fe,La,Hf,MgO,6.5,29.3,22.2,850,2,15,0.15
23,Co,Zn,Sr,MgO,1.0,31.0,3.2,850,6,20,0.15
24,Co,Zn,Tb,MgO,5.7,36.6,15.6,900,2,20,0.15
25,Co,Y,Hf,MgO,7.0,26.6,26.4,700,2,20,0.15
26,Ni,Y,Tb,MgO,5.6,18.3,30.7,900,4,20,0.7
27,Y,La,Ce,MgO,12.1,37.8,32.1,700,2,20,0.15
28,Mo,Cs,La,MgO,8.5,31.8,26.8,850,2,20,0.4
29,Mo,Ce,Tb,MgO,7.3,33.2,22.0,800,2,20,0.15
30,Li,Mg,Hf,Al2O3,3.2,40.4,7.9,850,2,15,0.15
31,Li,Ca,Mn,Al2O3,7.2,38.4,18.8,850,2,20,0.15
32,Li,Ti,La,Al2O3,15.5,37.4,41.4,850,2,15,0.7
33,Li,Fe,none,Al2O3,9.2,32.2,28.4,850,2,10,0.7
34,Li,Hf,none,Al2O3,4.9,35.2,14.0,900,2,20,0.4
35,Na,K,Hf,Al2O3,8.2,32.0,25.7,850,2,10,0.4
36,Na,Ti,Cu,Al2O3,11.5,20.7,55.9,850,4,20,0.4
37,Na,Mn,Ni,Al2O3,1.2,26.6,4.5,850,6,20,0.7
38,Na,Co,Ni,Al2O3,7.8,28.5,27.2,800,2,10,0.15
39,Na,Co,none,Al2O3,9.3,35.7,26.2,850,2,10,0.7
40,Na,Cu,Ce,Al2O3,3.2,27.4,11.5,900,2,10,0.15
41,Mg,Mn,Cs,Al2O3,8.6,32.8,26.2,900,2,20,0.7
42,Mg,Co,Ba,Al2O3,2.7,26.9,10.0,900,2,10,0.15
43,Mg,La,Nd,Al2O3,8.2,37.7,21.6,850,2,20,0.15
44,K,Mn,Ni,Al2O3,1.5,26.4,5.8,900,6,15,0.7
45,K,Co,Cs,Al2O3,9.3,34.2,27.4,850,2,15,0.7
46,K,Y,Hf,Al2O3,10.8,20.5,52.4,850,4,15,0.7
47,K,La,W,Al2O3,4.7,24.0,19.7,800,2,20,0.4
48,Ti,Mn,Y,Al2O3,10.4,32.4,32.2,850,2,20,0.15
49,Ti,Fe,Mo,Al2O3,9.4,36.8,25.5,850,2,20,0.4
50,Ti,Cs,La,Al2O3,7.6,30.7,24.9,800,2,20,0.4
51,V,Cu,Ba,Al2O3,1.8,37.7,4.7,900,2,20,0.15
52,Fe,Pd,Nd,Al2O3,11.6,20.3,57.3,850,4,20,0.15
53,Fe,Ba,none,Al2O3,4.9,33.0,14.7,850,2,20,0.15
54,Fe,La,W,Al2O3,2.7,36.3,7.5,850,2,20,0.15
55,Co,Ni,Zr,Al2O3,1.3,32.3,4.1,900,2,20,0.15
56,Co,Zn,Nd,Al2O3,10.2,36.1,28.3,850,2,20,0.4
57,Co,Y,Tb,Al2O3,5.9,35.8,16.5,800,2,20,0.15
58,Ni,Cu,Zr,Al2O3,1.6,37.8,4.2,750,4,20,0.7
59,Ni,Zn,La,Al2O3,1.0,25.5,3.8,750,6,10,0.7
60,Cu,Y,Ce,Al2O3,1.7,20.0,8.4,900,6,20,0.15
61,Zn,Pd,Cs,Al2O3,2.0,26.9,7.6,850,6,15,0.7
62,Sr,Pd,none,Al2O3,9.1,21.0,43.1,850,4,10,0.15
63,Y,Pd,Ba,Al2O3,9.4,33.6,27.9,850,2,20,0.4
64,Zr,Cs,La,Al2O3,9.3,31.2,29.7,850,2,15,0.7
65,Ba,La,W,Al2O3,3.5,22.5,15.6,800,2,20,0.4
66,Li,K,Co,SiO2,10.4,30.3,34.4,850,2,10,0.7
67,Li,Fe,W,SiO2,6.5,36.9,17.7,900,2,20,0.4
68,Li,Ni,none,SiO2,8.1,34.9,23.3,850,2,20,0.4
69,Li,Nd,Tb,SiO2,8.4,26.4,31.8,850,2,20,0.4
70,Li,Ni,Hf,SiO2,11.2,33.1,33.7,850,2,20,0.4
71,Na,Sr,Mo,SiO2,12.9,36.6,35.2,850,2,10,0.7
72,Na,Ce,Tb,SiO2,8.9,26.8,33.3,850,2,20,0.4
74,Mg,Cu,Sr,SiO2,7.3,27.1,27.0,800,2,10,0.15
75,Mg,Zn,Eu,SiO2,7.6,43.2,17.6,850,2,20,0.15
76,K,Mn,La,SiO2,8.1,36.5,22.2,850,2,20,0.4
77,K,Zr,Tb,SiO2,7.7,15.3,50.4,900,4,20,0.15
78,Ca,Ti,Cu,SiO2,9.7,34.4,28.2,900,2,20,0.7
79,Ti,Sr,La,SiO2,8.4,29.3,28.7,850,2,20,0.15
80,Ti,Mo,Nd,SiO2,4.5,30.8,14.8,900,6,20,0.15
82,V,Cs,Nd,SiO2,8.0,31.1,25.8,850,2,20,0.15
83,Mn,Fe,Cu,SiO2,7.4,34.6,21.3,850,2,20,0.15
84,Mn,Zn,Sr,SiO2,10.4,31.8,32.7,900,2,20,0.7
85,Co,Ni,Cu,SiO2,6.1,33.9,18.1,850,2,20,0.4
86,Co,Y,Nd,SiO2,8.7,23.5,37.1,800,2,20,0.15
87,Ni,W,none,SiO2,0.7,2.2,30.2,700,2,15,0.7
88,Ni,Ce,Nd,SiO2,8.3,26.9,30.9,850,2,10,0.7
89,Cu,La,Tb,SiO2,3.9,37.0,10.5,900,2,20,0.4
90,Cu,none,none,SiO2,8.1,34.3,23.6,800,2,10,0.15
91,Zn,Sr,Pd,SiO2,1.2,43.5,2.8,850,2,20,0.7
92,Zr,Cs,Cs,SiO2,2.5,18.0,13.8,900,6,15,0.15
93,Mo,Ba,none,SiO2,8.5,32.8,25.9,850,2,20,0.4
94,Cs,Ba,Ce,SiO2,7.8,23.2,33.6,850,2,15,0.7
95,Li,V,Eu,CaO,13.6,36.6,37.2,850,2,20,0.7
96,Li,Co,Mo,CaO,4.8,25.4,18.9,750,2,10,0.15
97,Li,Cu,Cs,CaO,5.6,31.0,18.1,900,2,20,0.15
98,Na,Mg,Hf,CaO,14.3,33.6,42.5,750,2,15,0.4
99,Na,Ti,Ce,CaO,11.9,31.6,37.6,700,2,20,0.15
100,Na,Mn,La,CaO,6.7,33.3,20.2,800,2,20,0.15
101,Na,Cu,Hf,CaO,4.2,25.6,16.3,800,2,20,0.15
102,Mg,Co,Ce,CaO,8.0,33.5,23.9,800,2,20,0.15
103,Mg,Cu,Eu,CaO,4.6,37.7,12.2,900,2,20,0.15
104,Mg,Sr,Y,CaO,14.4,35.6,40.5,800,2,20,0.4
105,Mg,Sr,Ba,CaO,17.4,39.6,44.1,800,2,20,0.7
106,Mg,Zr,Hf,CaO,15.9,36.6,43.6,750,2,20,0.15
107,K,Sr,Y,CaO,9.9,33.2,29.8,700,2,15,0.4
